URL,FinalStatusCode,StatusLabel,RedirectChain,ResponseTimeMs,Notes,CheckedAt
https://findlayedu.wpenginepowered.com/academics/business-humanities/communication/public-relations/,200,OK,200,395,,2026-05-08T07:44:02.664Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/english/english/,200,OK,200,285,,2026-05-08T07:44:03.860Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/history-law/history/,200,OK,200,280,,2026-05-08T07:44:04.946Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/history-law/pre-law/,200,OK,200,281,,2026-05-08T07:44:06.027Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/justice-sciences/criminal-justice/,200,OK,200,321,,2026-05-08T07:44:07.110Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/justice-sciences/forensic-science-biology/,200,OK,200,283,,2026-05-08T07:44:08.233Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/justice-sciences/forensic-science-chemistry/,200,OK,200,310,,2026-05-08T07:44:09.317Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/language-culture/ielp/,200,OK,200,293,,2026-05-08T07:44:10.428Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/language-culture/intercultural-studies/,200,OK,200,312,,2026-05-08T07:44:11.522Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/language-culture/international-studies/,200,OK,200,286,,2026-05-08T07:44:12.635Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/language-culture/japanese/,200,OK,200,280,,2026-05-08T07:44:13.723Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/language-culture/spanish/,200,OK,200,406,,2026-05-08T07:44:14.804Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/language-culture/tesol/,200,OK,200,532,,2026-05-08T07:44:16.012Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/language-culture/tesol-ma/,200,OK,200,326,,2026-05-08T07:44:17.346Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/professional-communication/,200,OK,200,325,,2026-05-08T07:44:18.473Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/religious-studies/,200,OK,200,326,,2026-05-08T07:44:19.598Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/religious-studies/philosophy/,200,OK,200,341,,2026-05-08T07:44:20.725Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/religious-studies/religious-studies/,200,OK,200,310,,2026-05-08T07:44:21.868Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/rhetoric/,200,OK,200,326,,2026-05-08T07:44:22.977Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/,200,OK,200,307,,2026-05-08T07:44:24.104Z
https://findlayedu.wpenginepowered.com/admissions-aid/undergraduate-student/,200,OK,200,454,,2026-05-08T07:44:25.213Z
