url,path,seo_score,issue_type,issue_severity
https://uof.rt.gw/about/offices/human-resources/sign-your-business-up-for-the-oiler-discount-program/,/about/offices/human-resources/sign-your-business-up-for-the-oiler-discount-program/,,NOT_SCANNED,high
https://uof.rt.gw/about/offices/human-resources/student-employment/,/about/offices/human-resources/student-employment/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/human-resources/student-employment/federalworkstudy/,/about/offices/human-resources/student-employment/federalworkstudy/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/human-resources/student-employment/student-employee-of-the-year/,/about/offices/human-resources/student-employment/student-employee-of-the-year/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/human-resources/student-employment/student-employment-faq/,/about/offices/human-resources/student-employment/student-employment-faq/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/human-resources/student-employment/student-employment-job-fair/,/about/offices/human-resources/student-employment/student-employment-job-fair/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/human-resources/student-employment/student-employment-week/,/about/offices/human-resources/student-employment/student-employment-week/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/human-resources/student-employment/supervisor-of-the-year/,/about/offices/human-resources/student-employment/supervisor-of-the-year/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/human-resources/student-employment/tuition-exchange-program/,/about/offices/human-resources/student-employment/tuition-exchange-program/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/human-resources/student-employment/tuition-remission-application/,/about/offices/human-resources/student-employment/tuition-remission-application/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/human-resources/student-employment/uf-partners/,/about/offices/human-resources/student-employment/uf-partners/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/international-education/,/about/offices/international-education/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/its/,/about/offices/its/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/its/computer-recommendations/,/about/offices/its/computer-recommendations/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/its/mfafaq/,/about/offices/its/mfafaq/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/leadership-development/,/about/offices/leadership-development/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/leadership-development/mlk/,/about/offices/leadership-development/mlk/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/postal-services/,/about/offices/postal-services/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/postal-services/addressing-mail-to-your-students/,/about/offices/postal-services/addressing-mail-to-your-students/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/print-services/,/about/offices/print-services/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/print-services/list-of-services/,/about/offices/print-services/list-of-services/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/print-services/poster-request/,/about/offices/print-services/poster-request/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/registrar/,/about/offices/registrar/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/registrar/advising-information/,/about/offices/registrar/advising-information/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/registrar/ap-clep-proficiency-examinations-international-baccalaureate/,/about/offices/registrar/ap-clep-proficiency-examinations-international-baccalaureate/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/registrar/class-roster/,/about/offices/registrar/class-roster/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/registrar/completion-graduation-and-transfer-out-rates/,/about/offices/registrar/completion-graduation-and-transfer-out-rates/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/registrar/completion-graduation-and-transfer-rates-student-athletes/,/about/offices/registrar/completion-graduation-and-transfer-rates-student-athletes/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/registrar/course-combination-form/,/about/offices/registrar/course-combination-form/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/registrar/diploma-replacement/,/about/offices/registrar/diploma-replacement/,0.500,SEO_LOW,high
https://uof.rt.gw/about/offices/registrar/eligibility-information/,/about/offices/registrar/eligibility-information/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/registrar/faculty-evaluations-policy/,/about/offices/registrar/faculty-evaluations-policy/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/registrar/frequently-asked-questions/,/about/offices/registrar/frequently-asked-questions/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/registrar/loan-deferment/,/about/offices/registrar/loan-deferment/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/registrar/majors-minors-degrees/,/about/offices/registrar/majors-minors-degrees/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/registrar/registration-procedure/,/about/offices/registrar/registration-procedure/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/registrar/retention-rates/,/about/offices/registrar/retention-rates/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/registrar/student-rights-and-responsibilities/,/about/offices/registrar/student-rights-and-responsibilities/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/registrar/transcripts/,/about/offices/registrar/transcripts/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/registrar/transfer-and-transient-student-information/,/about/offices/registrar/transfer-and-transient-student-information/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/registrar/transfer-credit-policies-and-articulation-agreements/,/about/offices/registrar/transfer-credit-policies-and-articulation-agreements/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/registrar/transient-coursework/,/about/offices/registrar/transient-coursework/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/student-accounts/,/about/offices/student-accounts/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/student-accounts/graduate-charges/,/about/offices/student-accounts/graduate-charges/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/student-accounts/housing-and-food-rates/,/about/offices/student-accounts/housing-and-food-rates/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/student-accounts/how-to-pay/,/about/offices/student-accounts/how-to-pay/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/student-accounts/payment-plans/,/about/offices/student-accounts/payment-plans/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/student-accounts/professional-programs-tuition/,/about/offices/student-accounts/professional-programs-tuition/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/student-accounts/tuition-adjustments-refund/,/about/offices/student-accounts/tuition-adjustments-refund/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/student-accounts/undergraduate-charges/,/about/offices/student-accounts/undergraduate-charges/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/student-affairs/,/about/offices/student-affairs/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/parking-and-transportation/,/about/parking-and-transportation/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/privacy-policy/,/about/privacy-policy/,0.660,SEO_NEEDS_IMPROVEMENT,medium
